classCode,className,professorName,classExplanation
MUSC 1700,Introduction to Theory and Musicianship,Jamuna Samuel,"This course will cover basic skills and vocabulary for reading, hearing, performing, analyzing, and writing music. Students will gain command of musical rudiments, including notation, reading and writing in treble and bass clefs, intervals, keys, scales, triads and seventh chords, and competence in basic melodic and formal analysis. The course will include an overview of basic diatonic harmony, introduction to harmonic function and tonicization. Musicianship skills will include interval and chord recognition, rhythmic and melodic dictation and familiarity with the keyboard. There will be in-depth study of selected compositions from the ""common practice"" Western tradition, including classical, jazz, blues and other popular examples. Listening skills--both with scores (including lead sheets, figured bass and standard notation), and without--will be emphasized. There is no prerequisite. Students with some background in music may place out of this course and into Music 170, Theory and Musicianship I. Fulfills College Formal Reasoning and Analysis Foundational Requirement."
ENGL 0759,"Gender, Ecology and New Wave Science Fiction",Barri Gold,"The artist deals with what cannot be said in words. The artist whose medium is fiction does this in words. The novelist says in words what cannot be said in words. --Ursula Le Guin Literature is a way to think. Good literature can help us wrestle with some of the most intractable, often unconscious or unacknowledged, issues of its moment and ours. The novels in this course do so by imagining alien worlds with distinctive and strange ecologies. Through the imagined Mars of H.G. Wells’s The War of the Worlds, the evolutionary mystery of Orson Scott Card’s Speaker for the Dead, and the waterworld of Joan Slonczewski’s A Door Into Ocean, we will explore the interrelations between gender, colonialism, language and ecology. Student will have an opportunity to write their own ecological speculative fiction. And we will read two of the best science fiction novels of all time—Frank Herbert’s Dune and Ursula Le Guin’s The Left Hand of Darkness—which helped launch a “new wave” of science fiction, more political, more psychological, and more literary."
SWRK 7280,Taking Down the Prison Industrial Complex,Toorjo Ghose,"The U.S. incarcerates more people than any other country, and more than any nation has ever done in history. The racial disparities that mark this carceral regime have led scholars to describe the prison industrial complex as a new form of Jim Crow. Philadelphia has one of the highest incarceration rates in the country, and one of the largest populations on parole and probation. This class explores structural and individual-level pathways to re-engage the vast population of recently incarcerated people who cycle through prisons, jails, juvenile homes, and other detention centers. Drawing on practice informed by critical race, postcolonial, feminist, and queer theories, the class prepares the conceptual and practice foundations for a prison abolitionist orientation in social work engagement with this community. Utilizing a daily workshop format that incorporates members of the Philadelphia decarcerate landscape, students will be trained in direct and macro practice, to engage with people and the carceral systems they are embedded in. The class will engage students with the innovative psychotherapeutic and macro practices being implemented in the Center for Carceral Communities at SP2, alternative programs in Philadelphia’s municipal and federal courts, educational degree programs at community colleges in Philadelphia, co-operative business initiatives for people emerging from incarceration, and social movements such as Black Lives Matter that are shaping the prison abolition landscape. The class blends morning sessions dedicated to discussions of texts with afternoon sessions dedicated to hands-on implementation workshops. At the end of the class, students will be prepared to immediately start engaging with members of the community emerging from incarceration."
ARCH 7321,Tech Elective: Geometric Structural Design,Masoud Akbarzadeh,"Technology Designated Electives enable students to deepen their understanding of architectural issues, and M.Arch students must complete 1 CU of any ARCH 732x and/or ARCH 736x course(s). But these courses are not limited to students in the department of architecture any graduate student at Weitzman is invited to register for a Technology Designated Elective of interest, space permitting. Topics vary between semesters, and specific details can be found in the “Section Details” area in course search."
VCSN 8855,Equine Ophthalmology - NBC,Nicole Scherrer,"This course is designed to provide students with ophthalmology experience to supplement what they obtain in the Large Animal Medicine foundation rotation, and, if taken, the Small Animal Ophthalmology elective. It is intended both for students with a special interest in ophthalmology, to broaden their exposure to include equine ophthalmology, and for equine students, to provide them with ophthalmology training that will benefit their equine patients in either general or speciality practice. This latter is particularly important given that most equine students do not take the Small Animal Ophthalmology elective and so graduate without clinical ophthalmology experience. Students will participate in the diagnosis and treatment of clinical ophthalmology cases in the hospital. Students will assist with evaluation of new cases, both inpatient and outpatient, and will be responsible for the daily treatment and examination of all hospitalized ophthalmology cases. Students will handle communication with clients and construct discharge summaries when appropriate. Exposure will vary due to fluctuations in case load. Organized laboratories in slit-lamp biomicroscopy, indirect ophthalmoscopy, and tonometry will allow the student to become comfortable with ophthalmic diagnostic techniques."
MUSC 0070,Arabic Percussion Adv: Arabic Percussion Advanced,"Hafez Kotain,
Michael Ketner","Successful participation in a music department sponsored group. Ensemble groups: University Orchestra, University Wind Ensemble, Choral Society, University Choir, Collegium Musicum, Baroque and Recorder Ensemble, Chamber Music Society, Arab Music Ensemble, Samba Ensemble, Penn Flutes, Opera and Musical Theater, and Jazz Combo"
NGG 5720,Electrical Language of Cells,"Toshinori Hoshi,
Douglas Coulter","This course introduces students to high-speed electro-chemical signaling mec hanisms that occur in nerve and other excitable cells during normal activity. Topics considered in substantial detail include: a)a basic description of the passive and active membrane electrical properties; b)the molecular architecture and functional role of ion channels in cell signaling; c)the role of the calcium ion as an umbiquitous chemical mesenger, with applications to neuro-secretion; d)excitatory and inhibitory transmission in the central nervous sytem; e) sensory transduction, as illustrated by the visual, olfactory, and autitory pathways. The course assumes a standard background in cell biology, as well as basic concepts from college physics and college calculus. Enrollment is limited to students with a major in Neuroscience."
PHYS 0080,Physics and Consciousness,Marija Drndic,"We will explore the basic classical and quantum physics concepts, and link themto newly observed physical phenomena and technologies, as well as to brain research, in the context of tools that physicists helped bring about like the seminal magnetic resonance imaging. The course content is mostly physics, although we link it to cognitive sciences, but the main focus is on motivating and explaining the basic physical laws behind new phenomena and related technologies. Examples include wave-particle duality and its relevance for technological applications, behavior of spin particles in a magnetic field to explain magnetic resonance imaging, ion flow through ion channels and ohm's law to explain electrical signal flow in our body, and other examples within the core of physics and bridging to interdisciplinary areas of material science and devices, biology and neuroscience. As we learn about particle spins, we will talk about brain imaging studies enabled by Nobel winning physics research. We will then discuss consciousness and free will, and read original texts by Schrodinger, Einstein and other physicists, and our course discussion will be uniquely motivated by related physical phenomena and experiments, including quantum entanglement and relativity of space and time. I will explain the basic ideas behind quantum computing and information processing, and we we learn about basic quantum logicgates and Dirac's matrix formalism in quantum mechanics."
SWRK 7330,Supporting LGBTQ+ Individuals Across the Lifespan,Elicia Gonzales,"As recognition and acceptance of individuals across and beyond both the sexual orientation and gender identity spectrums continues to progress within the United States, clinical theory and applications for working with lesbian, gay, bisexual, transgender, and queer plus (LGBTQ+) individuals has also expanded. This course will explore the clinical theories and treatment approaches geared towards affirming and supporting LGBTQ+ individuals within their romantic and/or sexual relationships, families of origin, and families of choice. Areas of development will be addressed across the lifespan including specific milestones related to gender and sexuality development as well as psychological, sociocultural, and spiritual influences upon development. Centering on a social justice approach, learners will be encouraged to critically examine systemic factors impacting LGBTQ+ individuals as well as the intersectionality of various identities including race, ethnicity, gender identity, sexual orientation, age, ability/disability, socioeconomic status, educational attainment, mental and physical health, and other identities (both self-assigned and externally applied) that can impact development. Each stage of development will include multiple cases for review and consideration of potential practice implications at the individual, relationship, family, community, and systemic levels. Upon conclusion of the course, learners will have a stronger understanding of the practice theories that exist, the practice models that best fit their professional style, and clear understanding of practice application in regards to affirming and supporting LGBTQ+ individuals."
COMM 3950,Communication and the Presidency,"Dwight Eisenhower,
Scott Reich",This course examines the vital aspect of communication as a tool of the modern Presidency. Reading and class discussions focus on case studies drawn from modern Presidential administrations (beginning with FDR) that demonstrate the elements of successful and unsuccessful Presidential initiatives and the critical factor of communication common to both. This course is also an introduction to primary research methods and to the use of primary research materials in the Presidential Library system.
ENGL 3010,Introduction to Creative Writing: Poetry and Fiction,Ahmad Almallah,"This introductory workshop explores the main tools of writing poetry and fiction. Thematically, we’ll be reading a number of different examples to learn why poets such as Gwendolyn Brooks and Sylvia Plath turn to fiction as a way to revitalize their poetic practice, and why novelists such as Herman Hesse and Herta Müller turn to poetry. And we’ll read writers who work in both genres, such Zbigniew Herbert and Salim Barakat. Students will learn to use the main tools of fiction, such as characterization, dialogue, and description, as well as the forms of poetry, such as sound, image, and enjambment. The workshop also aims at encouraging a philosophical exploration of the border between reality and imagination in the form of writing poems and short fiction pieces."
MGMT 3530,Wharton Field Challenge FLCP,Keith Weigelt,"Do you want to make a real difference in the lives of a student? Do you want to set kids on a path to becoming financially literate? Do you want to learn leadership skills in the classroom? Here at the Financial Literacy Community Project (FLCP) we are able to create an experience that achieves all three. We partner with various public schools around the West Philadelphia area and teach concepts integral to financial literacy. We teach a wide range of grades from middle school to high school, and work with students to help them learn how to be financially responsible. In addition to teaching in neighboring high schools, we also have group class meetings run by Professor Keith Weigelt on Mondays from 7:00 PM-8:30 PM. We learn about the disparity of wealth and how to best address it while also learning teaching techniques, classroom strategies, and overall basic financial literacy. A basic understanding of personal financial literacy is required."
OIDD 4810,Convex Optimization for Statistics and Data Science,Yuxin Chen,"Convex optimization has become a real pillar of modern data science and has transformed algorithm designs. A wide spectrum of problems in statistics, machine learning, and engineering can be formulated as optimization tasks that exhibit favorable convexity properties, which admit standardized and efficient solutions. This course aims to introduce the elements of convex optimization, concentrating on modeling aspects and algorithms that are useful in data science applications. Topics include convex sets, convex functions, linear and quadratic programs, semidefinite programming, optimality conditions and duality theory. We will visit important applications in statistics and machine learning to demonstrate the wide applicability of convex optimization. We will also cover effective optimization algorithms like gradient descent and Newton's method. Prerequisites: Basic linear algebra (Math 3120, 3130, 3140 or equivalent), basic calculus (Math 2400 or equivalent), basic probability (STAT 4300 or equivalent), and knowledge of a programming language like MATLAB or Python to conduct simulation exercises."
MEAM 2100,Statics and Strength of Materials,Robert Carpick,"This course is primarily intended for students in mechanical engineering, but may also be of interest to students in materials science and other fields. It continues the treatment of statics of rigid bodies begun in MEAM 1100/PHYS 0150 and progresses to the treatment of deformable bodies and their response to loads. The concepts of stress, strain, and linearly elastic response are introduced and applied to the behavior of rods, shafts, beams and other mechanical components. The failure and design of mechanical components are discussed. Students should have either taken MATH 2400 in a previous semester or be taking it concurrently with this course."
STSC 2421,Manufacturing Minds: From Babbage to ChatGPT,David Dunning,"When asked to tell its own history, ChatGPT answers literally, describing (vaguely of course) its own training data set. When pressed to describe the longer history of “technology like you,” it mentions early computer science, programs that played chess or solved math problems, before naming deep learning algorithms and big data as the key breakthroughs. This lineage is not untrue, but it ignores the wider context in which individuals and organizations have come to pursue this strange dream of crafting an intelligent object. As an uncannily lucid conversation partner who freely performs all manner of textual tasks, ChatGPT participates in a longstanding tension in the history of information technology between the goals of manufacturing minds and making mindless clerical workers. In this course we historicize that tension in three domains—calculation, knowledge work, and games—all of which directly inform our efforts to imagine what ChatGPT and its ilk might be. Throughout, we will attend to the ways machinery shaped specific tasks’ construction in relation to gender, race, and class identities. We will see how technologies often imagined as disembodied are always material, interacting with human bodies and physical environments."
CHEM 5450,Chemical Neuroscience,Dirk Trauner,"Natural products, such as tetrodotoxin, kainic acid and morphine, have played a crucial role in the development of neuroscience. Using selected chemical syntheses as a framework, I will provide an introduction to neuroscience for chemists blended with an intense course in synthetic design (""Syntheseplanung""). The structure, function and synthesis of the following molecules will be analyzed: tetrodotoxin, saxitoxin, kainic acid, nicotine, epibatidine, coniine, tubocurarine, histrionicotoxin, ibotenic acid, strychnine, picrotine, chrysanthemic acid, ivermectin, muscarine, morphine, salvinorin A, THC, lysergic acid, forskolin, staurosporin, eglumegad, physostigmine, huperzin A, galanthamine, cocaine, reserpine, thapsigargin, ouabagenin, ryanodine, capsaicin, resiniferatoxin, retinal, carotene, menthol, santalol, camphor, and the prostaglandins. The structure and function of important ion channels, GPCRs, transporters and enzymes and their ligands will be discussed using PyMol files. The goal of this course is to get as many synthetic chemists excited about neuroscience as possible (and a few neuroscientists stoked about synthesis). The importance of structural and pharmacological databases (PDB and IUPHAR, respectively) and the usefulness of the Reaxys database (and SciFinder) for synthetic planning will be demonstrated. Requirements: A familiarity with synthetic organic chemistry and (named) chemical reactions, a mastery of the Nernst equation, and a willingness to learn more about one of the greatest, if not the greatest scientific challenges of our times: to figure out how the human brain work"
CHEM 5550,Macromolecular Crystallography: Methods and Applications,Ronen Marmorstein,"This is an introductory course on methods and applications of macromolecular structure determination using X-ray crystallography. The course will be broken up into three parts: 1) Principles of X-ray crystallography involving didactic lectures on the technique with weekly problem sets; 2) Workshops on macromolecular structure determination involving hands-on experience with the technology; 3) Student ""journal club"" presentations on current high impact publications involving X-ray crystal structure determination. Prerequisite: Undergraduate calculus and trigonometry."
CHEM 5640,Organometallics,"Karen Goldberg,
Kristen Simon,
Patrick Walsh","This course is focused on molecular species that contain metal-carbon bonds, and the role of these compounds in catalytic processes and organic synthesis. Aspects of the synthesis, structure and reactivity of important classes of organometallic compounds such as metallo alkyl, aryl, alkene, alkylidene and alkylidyne complexes are surveyed for the d and f block metals. Emphasis is placed on general patterns of reactivity and recurring themes for reaction mechanisms."
PHYS 3314,Ocean-Atmosphere Dynamics and Implications for Future Climate Change,Irina Marinov,"This course covers the fundamentals of atmosphere and ocean dynamics, and aims to put these in the context of climate change in the 21st century. Large-scale atmospheric and oceanic circulation, the global energy balance, and the global energy balance, and the global hydrological cycle. We will introduce concepts of fluid dynamics and we will apply these to the vertical and horizontal motions in the atmosphere and ocean. Concepts covered include: hydrostatic law, buoyancy and convection, basic equations of fluid motions, Hadley and Ferrel cells in the atmosphere, thermohaline circulation, Sverdrup ocean flow, modes of climate variability (El-Nino, North Atlantic Oscillation, Southern Annular Mode). The course will incorporate student led discussions based on readings of the 2007 Intergovernmental Panel on Climate Change (IPCC) report and recent literature on climate change. Aimed at undergraduate or graduate students who have no prior knowledge of meteorology or oceanography or training in fluid mechanics. Previous background in calculus and/or introductory physics is helpful. This is a general course which spans many subdisciplines (fluid mechanics, atmospheric science, oceanography, hydrology)."
NURS 3270,Foundations of Global Health,Jianghong Liu,"This interdisciplinary course covers fundamental concepts of global and population health. Epidemiology and methodology, historical and contemporary contexts, physical (water, air, climate change, and food/nutrition) and social (health inequities, sex/reproduction, injury/violence) determinants of health, and interventions for health improvement are addressed. Health problems such as infectious and chronic diseases cannot be understood apart from history, economics, environment, and inequalities - they are not simply medical issues. Global Health refers not only to the health problems of ""others"" living in far corners of the world (low- and middle-income countries), but also to our own health problems as citizens of a very rich, but very unequal and multicultural nation. The aim of the course is to help students become more informed and active global citizens. Learning methods include faculty presentations, student presentations, and small group discussions. Although this course has a health focus, it is aimed at all students interested in global issues."
ASTR 0007,The Big Bang and Beyond,Adam Lidz,"An introductory course for students who do not intend to major in a physical science or engineering, covering theories of the Universe ranging from the ancient perspective to the contemporary hot big bang model, including some notions of Einstein's special and general theories of relativity. Topics will include the solar system, stars, black holes, galaxies, and the structure, origin and future of the Universe itself. Elementary algebra is used. Fulfills quantitative data analysis requirement."
ANTH 1151,Madness and Mental Health in East Asian Worlds,Emily Ng,"Madness, however conceived, can trouble the limits of our worlds. Since COVID-19, questions of mental health have resurfaced with a sense of urgency, as many faced unprecedented changes in collective and intimate life. This course explores madness and mental health in East Asian worlds, across geographies, histories, social-political transformations, and racialized imaginations. How do East Asian therapeutics approach madness, through and beyond the concepts of psychiatry, neuroscience, or even ‘mental health’? What happens when Euro-American diagnostic categories and treatments travel to East Asia as part of missionary and empire-building projects? Bringing together readings in medical and psychological anthropology, as well as history, literature, psychoanalysis, and transcultural psychiatry, we will explore themes such as: shifting concepts of madness in Chinese, Korean, and Japanese medical and spiritual cures, colonial legacies of ‘culture-bound syndromes,’ and race as a site of psychic struggle in Asian American diasporas."
ANTH 3045,Oil to Diamonds: The Political Economy of Natural Resources in Africa,Adewale Adebanwi,"This course examines the ways in which the processes of the extraction, refining, sale and use of natural resources – including oil and diamond – in Africa produce complex regional and global dynamics. We explore how values are placed on resources, how such values, the regimes of valuation, commodification and the social formations that are (re)produced by these regimes lead to cooperation and conflict in the contemporary African state, including in the relationships of resource-rich African countries with global powers. Specific cases will be examined against the backdrop of theoretical insights to encourage comparative analyses beyond Africa. Some audio-visual materials will be used to enhance the understanding of the political economy and sociality of natural resources."
BE 4830,Physics of Medical/Molecular Imaging,"Alison Pouch,
Wei Zou","This course will provide a comprehensive survey of modern medical imaging modalities and the emerging field of molecular imaging. The basic principles of X-ray, ultrasound, nuclear imaging, and magnetic resonance imaging will be reviewed. The course will also cover concepts related to contrast media and targeted molecular imaging. Topics to be covered include the chemistry and mechanisms of various contrast agents, approaches to identifying molecular markers of disease, ligand screening strategies, and the basic principles of toxicology and pharmacology relevant to imaging agents."
ECON 4110,"Jeremy Greenwood,
Jordan Peeples",Economics of Family,"This course will study modern family economics. The class will develop economic models to study topics such as female labor supply, fertility, marriage and divorce, women's liberation, premarital sex and parental socialization, investment in health, and retirement. This is an advanced undergraduate class. Calculus is an integral part of the course. Some elementary probability theory is drawn upon. Students unwilling to learn some of the tools used in modern economic should not take this class."
ECON 4470,Urban Fiscal Policy,Urban Fiscal Policy,"The purpose of this course is to examine the financing of governments in the urban economy. Topics to be covered include the causes and consequences of the urban fiscal crisis, the design of optimal tax and spending policies for local governments, funding of public infrastructures and the workings of the municipal bond market, privatization of government services, and public financial systems for emerging economies. Applications include analyses of recent fiscal crises, local services and taxes as important determinants of real estate prices, the infrastructure crisis, financing and the provision of public education, and fiscal constitutions for new democracies using South Africa as an example."
EESC 4336,"
Ocean-Atmosphere Dynamics and Implications for Future Climate Change",Irina Marinov,"This course covers the fundamentals of atmosphere and ocean dynamics, and aims to put these in the context of climate change in the 21st century. Large-scale atmospheric and oceanic circulation, the global energy balance, and the global energy balance, and the global hydrological cycle. We will introduce concepts of fluid dynamics and we will apply these to the vertical and horizontal motions in the atmosphere and ocean. Concepts covered include: hydrostatic law, buoyancy and convection, basic equations of fluid motions, Hadley and Ferrel cells in the atmosphere, thermohaline circulation, Sverdrup ocean flow, modes of climate variability (El-Nino, North Atlantic Oscillation, Southern Annular Mode). The course will incorporate student led discussions based on readings of the 2007 Intergovernmental Panel on Climate Change (IPCC) report and recent literature on climate change. Aimed at undergraduate or graduate students who have no prior knowledge of meteorology or oceanography or training in fluid mechanics. Previous background in calculus and/or introductory physics is helpful. This is a general course which spans many subdisciplines (fluid mechanics, atmospheric science, oceanography, hydrology)."
HCMG 2130,Health Care Strategy and Management: the Business of Health Care,Lawton Burns,"This course presents an overview of the business of health and how a variety of health care organizations have gained, sustained, and lost competitive advantage amidst intense competition, widespread regulation, high interdependence, and massive technological, economic, social and political changes. Specifically, we evaluate the challenges facing health care organizations using competitive analysis, identify their past responses, and explore the current strategies they are using to manage these challenges (and emerging ones) more effectively. Students will develop generalized skills in competitive analysis and the ability to apply those skills in the specialized analysis of opportunities in producer (e.g. biopharmaceutical, medical product, information technology), purchaser (e.g. insurance), and provider (e.g. hospitals, nursing homes, physician) organizations and industry sectors. The course is organized around a number of readings, cases, presentations, and a required project."
JWST 0020,Religions of the West,Reyhan Durmaz,"This course surveys the intertwined histories of Judaism, Christianity, and Islam. We will focus on the shared stories which connect these three traditions, and the ways in which communities distinguished themselves in such shared spaces. We will mostly survey literature, but will also address material culture and ritual practice, to seek answers to the following questions: How do myths emerge? What do stories do? What is the relationship between religion and myth-making? What is scripture, and what is its function in creating religious communities? How do communities remember and forget the past? Through which lenses and with which tools do we define ""the West""?"
MEAM 4150,Product Design,"Ashley Marcovitz,
Karl Ulrich","This course provides tools and methods for creating new products. The course is intended for students with a strong career interest in new product development, entrepreneurship, and/or technology development. The course follows an overall product design methodology, including the identification of customer needs, generation of product concepts, prototyping, and design-for-manufacturing. Weekly student assignments are focused on the design of a new product and culminate in the creation of a prototype, which is launched at an end-of-semester public Design Fair. The course project is a physical good - but most of the tools and methods apply to services and software products. The course is open to any Penn sophomore, junior, senior or graduate student. The course follows a studio format, in which students meet for three hours each week with Professor Marcovitz for lectures and hands-on making, and students will complete 90 minutes of asynchronous, self-paced content from Professor Ulrich on their own time each week. Professor Ulrich gives one in-person lecture during the semester and attends the Design Fair, but is not present at the weekly studio sessions."
COMM 2820,Sick and Satired - The Insanity of Humor and How it Keeps Us Sane,Dwayne Booth,"This course will examine how and why humor, as both an instigator and peacemaker, might be considered one of the most influential and profoundly useful forms of communication devised by human beings. The unique ability of jokes and satire to transcend familiar literary and journalistic forms for the purpose of deepening (or cheapening) socio-philosophical arguments and to inspire (or discourage) debate and participation in public conversations about innumerable political and social issues will be explored. The fearless analytical nature of both high and lowbrow comedy will be examined, as well as its deflective qualities. The course will enable students to consider, through analysis of both contemporary and historical examples, the political and cultural satirist's unique role in society as a witness, a predictor and, in some circumstances, an instigator of public and private debate. We will examine the role of satire in revealing and mediating differences between disparate social groups based not solely on language differences, but also on political affiliation, cultural identity, ethnicity, gender, religious fellowship, sexual orientation, and socio-economic caste."
DSGN 2570,User Experience (UX) and User Interface (UI) Design,Tom McQuaid,"Great user experience and user interface design are essential for creating digital products that people love. In this course, we'll cover a range of topics from user research through designing visual interfaces, as well as principles of human-centered design and the design process. We'll study existing products to understand the problems they solve and the elements that make them succeed. Lectures and coursework will include practical exercises with user journeys, flowcharts, style sheets, and prototyping tools. No design experience necessary."
AFRC 4000,Blacks in American Film and Television,Donald Bogle,"This course is an examination and analysis of the changing images and achievements of African Americans in motion pictures and television. The first half of the course focuses on African-American film images from the early years of D.W. Griffith's ""renegade bucks"" in The Birth of a Nation (1915); to the comic servants played by Steppin Fetchit, Hattie McDaniel, and others during the Depression era; to the post-World War II New Negro heroes and heroines of Pinky (1949) and The Defiant Ones (1958); to the rise of the new movement of African American directors such as Spike Lee (Do the Right Thing), Julie Dash (Daughters of the Dust), Charles Burnett, (To Sleep With Anger) and John Singleton (Boyz N the Hood). The second half explores television images from the early sitcoms ""Amos 'n Andy"" and ""Beulah"" to the ""Cosby Show,"" ""Fresh Prince of Bel Air,"" and ""Martin."" Foremost this course will examine Black stereotypes in American films and television--and the manner in which those stereotypes have reflected national attitudes and outlooks during various historical periods. The in-class screenings and discussions will include such films as Show Boat (1936), the independently produced ""race movies"" of the 1930s and 1940s, Cabin in the Sky (1943), The Defiant Ones (1958), Imitation of Life (the 1959 remake) & Super Fly (1972)."
