name,explanation
Dell Women's Entrepreneur Network @ Penn,"We are a University of Pennsylvania student club endorsed by Dell Women's Entrepreneur Network, a global network of women entrepreneurs established by Dell Technologies in 2009. A gateway to become involved with DWEN's Next Gen Group. DWEN@Penn is the exclusive on-campus liaison and coordinator for DWEN and Dell-sponsored events including recruiting, seminars, mentorship, etc. Founder of DWEN@Penn is a Next Gen Leader (18-30) of DWEN Global. All graduate and undergraduate members of the Penn Community are welcome!"
DiversaTech Penn,"DiversaTech is Penn’s first student-run technology consultancy. Diversatech was created with the mission of exposing students of all backgrounds to tech, combining design, engineering & business principles to create novel, dynamic & impactful recommendations. With a longstanding chapter at UC Berkeley, we have worked for companies such as Coinbase, Snapchat, AirBnB, Twitter, Quizlet & Ebay, among others. We partner with clients from a variety of tech industries and form interdisciplinary teams to tackle projects including but not limited to strategy, app development, marketing & feature design. We strongly believe that the best solutions arise from bringing together individuals of all backgrounds & thus no technical or consulting experience necessary - diversity, community & zeal comprise our core values, thus all majors are welcome to apply. Be a part of DiversaTech Penn, expand your network across universities and gain hands-on tech-specific experience!  "
Engineering Consultants at Penn,"In 2022, 33% of Penn Engineering graduates' first destinations were in the financial services and consulting industries. But along the way, besides students participating in the Engineering Entrepreneurship Minor or Wharton Dual Degree, there are few specific ways for engineers to get involved with such industries while at Penn.

That is why we founded Engineering Consultants at Penn (ECP)!

ECP is Penn’s first club focused on creating consulting and business opportunities, particularly within the scientific and engineering industries. With 8 teams distinguished by 8 departments of Penn Engineering, ECP offers consulting engagements that reach across all scientific disciplines. Whether you are a Penn Engineer looking to enter these industries, a Wharton student hoping to gain more experience in the intersection of business and science, or a CAS or Nursing student interested in any of these fields, ECP welcomes you to join our community of change-makers!"
Global Research and Consulting,"GRC Wharton is a student group at the University of Pennsylvania and the founding branch of GRC Group, a global network of independently operated consulting groups around the world with branches at elite institutions such as Columbia, Harvard, Stanford, and Kellogg. 
Our Mission 
“To bring together the most talented, passionate, and diverse students from around the world and empower them to make an impact on the work of our NGO and social impact partners."""
GlobeMed at Penn,"GlobeMed is a network of university students passionate about global health and social justice, who work to improve the health of those living in poverty by forming multi-year partnerships with grassroots organizations across the globe. At the University of Pennsylvania, we bring the GlobeMed model of sustainable partnership and peer education to our members, our campus, and our local and global communities through issue-based awareness campaigns, fundraisers for our partner organization, local engagement and volunteering, and global health- and social justice-related speakers and panels."
"Google Developer Student Club @
Penn","We are the University of Pennsylvania chapter of a global network of Google Developer Student Clubs (GDSC) powered by Google. GDSCs are university based community groups for students interested in Google developer technologies. Students from all undergraduate or graduate programs with an interest in growing as a developer are welcome. By joining a GDSC, students grow their knowledge in a peer-to-peer learning environment and build solutions for local businesses and their community.

GDSC@Penn's mission is to help students identify relevant, forward-looking objectives, solve live problems, learn a wide range of technical tools, bridge the gap between theory vs. practice, while meeting other members to create teams with comparable goals. We will be holding technical workshops on a variety of topics, creating partnerships with other leading campus student clubs, and broadening the horizons of members.

Google's mission statement is “to organize the world's information and make it universally accessible and useful.” We encourage universal ESG and DEI values in full compliance with Google's mission, especially when dealing with cutting-edge tools such as AI-driven solutions."
HOSA @ Penn,"Penn is finally reactivating its HOSA chapter, and we invite you to join our student group at Penn! Over the coming months and years, we strive to provide our members with healthcare scholarship opportunities, fellowship and internship opportunities with our partners (ranging from Pfizer to the American Red Cross), and competitive events. Fill out the interest form to get involved and join the HOSA family!"
iDev,"iDev is a student group at the University of Pennsylvania that aims to provide Penn students exposure to the field of international development through a variety of professional lenses and nurture a network dedicated to global impact.

The organization creates a space for discussion, professional guidance, and learning projects across several international development topic areas (economic, political, social, environmental) and different career paths (think tanks, government, business, NGOs)."
In Transcription,"In Transcription (InT) @ Penn is one of the founding branches of InT, a global association for future scientists and entrepreneurs around the world with eleven other branches at elite institutions such as Columbia, John Hopkins, UChicago, and Cornell. Since 2021, the Penn branch has 30 current members.

InT aims to promote the growth of future scientists and entrepreneurs in the life sciences by equipping them with the skills and resources to translate research into businesses. We seek to bring together undergraduate and graduate students who share a passion for biotechnology and healthcare, with the interest to pursue academia, industry, or entrepreneurship.

As a club, we hope to provide a great sense of community among our general and cohort members. We will present open-to-all speaker events with renowned researchers, case study workshops on emerging startups, and social events with other branches. Join us for discussions, mentorship, and workshops given by researchers, graduate students, and peers from other top universities"
International Affairs Association,"The International Affairs Association is a student group that strives to stimulate interest in international affairs among the students and community of the University of Pennsylvania. Comprised of six branches with over 100 students from all different majors, years, and backgrounds, the IAA is one of the largest student groups at the University of Pennsylvania.

Every year, the IAA hosts a Model UN Conference, participates in Model UN competitions across the country, sponsors community service events, hosts speakers, and publishes a series of blogs on international affairs. To learn more about the IAA branches and how you can get involved in our tight-knit community, visit our website.

Visit https://linktr.ee/penniaa to learn more."
"
International Relations Undergraduate Student Association","Membership in Sigma Iota Rho is intended not only to enhance the credentials of its members, though public recognition of the best and the brightest students in international studies is one of our main purposes, but is meant to encourage a life-long devotion to a better understanding of the world we live in and to continuing support for and engagement in education, service, and occupational activities that reflect the mission of Sigma Iota Rho.  In that way we do not limit ourselves to once-a-year pats on the back during the induction of new members, but internalize the belief that our purpose for studying international affairs is not only to position ourselves to succeed in a globalized society, but to make the world we live in a better place through our contributions in our work and day-to-day life."
Jewish Executive Track,"JET is a student-run business ethics fellowship. Through hosted speaker events and seminars, we provide Jewish students with opportunities to hear from successful business leaders who share stories about their experiences in the business world and take the students through a business ethics lesson. "
JHealth,"The Penn Chapter of Olami’s Pre-Health Society is a community of Jewish Undergraduate Pre-Health students, offering career development opportunities so that students can stand out in their respective health fields. We offer access to mentorships, internships, research, graduate school resources, programming, community service, and social events. Open to pre- Medicine, -Dental, -Vet, -OT, -PT, -SLP, Psych, Nursing, Nutrition, Public Health students, and more."
JTech at Penn,The Penn Chapter of Olami's network for students looking to enter the field of tech
Korea-Penn Engineers and Scientists Assocation,"Korea Penn Engineers and Scientists Association (K-PEnSA) is an organization to address the unique cultural and academic needs of the university’s Korean students in disciplines of engineering and sciences and promote exchange of professional information and experience to help their career development, growth, and success."
Locust Bioventures,"We are a student group at the University of Pennsylvania that helps to create biotech startups by providing Penn research teams with strategic guidance and business materials to turn their scientific discovery into a biotech company.

In the past, we have worked with novel therapeutics and drug delivery platforms coming out of the labs of Dr. Carl June, Dr. Drew Weissman, Dr. Mark Sellmeyer, Dr. Robert Mach, and more."
Locust Health Connect,"Locust Health Connect is the Penn chapter of the Ivy League+ Pre Health Society, a multi-university organization that connects pre-health students across universities to foster collaboration and growth. We provide professional development opportunities for students to gain hands-on skills, meet new people, and learn from leaders in healthcare. Some of our events have featured state surgeon generals, White House pandemic experts, and pharmaceutical executives. We will host renowned physicians, health policy leaders, and admissions experts in 2023. We will also collaborate with local healthcare institutions to volunteer in the West Philadelphia community. Some perks of joining our organization include a 50% discount on MCAT prep courses and mentorship for MCAT, application prep, and navigating life as a pre-health student. We also provide opportunities for students to write op-eds and podcast episodes (publicized on Spotify, iTunes, and Google Podcasts) about health-related topics."
Machine Learning Research at Penn,"The Machine Learning Research at Penn (MLR @ Penn) group is designed for undergraduate students to cultivate their passion in Machine Learning (ML) and Artificial Intelligence (AI) research. We facilitate conversations about recent works in topics of interest through reading groups, and encourage students to collaborate and engage in developing novel research, with possible opportunities for publication. "
Medical Interpreters @ Penn,We are a multi-lingual student organization at the University of Pennsylvania. We help Penn students become cultural advocates and interpreters at various clinics in Philadelphia by coordinating translator training and placement. MI@P aims to help improve patients' quality of life by promoting equal access to healthcare regardless of one's socioeconomic and cultural background. We acknowledge and work our hardest to minimize the challenges that come with limited English proficiency.
National Society of Black Engineers,"NSBE is a student group at the Unversity of Pennsylvania. It is a national organization, broken into different regions, composed of individual collegiate chapters. Although our primary goals revolve around academic excellence, professional development, and community service, we hold many social events that foster and strengthen our tight-knit community. If you are looking to be a part of a family away from home, join ours."
Penn Astronomical Student Association,"Our goal is to create a community of students at the University of Pennsylvania from all majors and backgrounds who are interested in astronomy, science fiction, and everything in between. We host weekly events, like trivia nights and space-themed discussions! Click this link to view our slideshow that provides a club overview! You can also sign up for our listserv here."
Penn Climate Ventures,"We're a student-run organization dedicated to building out Penn's climate innovation ecosystem. PCV aims to create a professional pipeline on par with consulting, finance, and tech — but specifically for climate! We are composed of students ranging from all 4 years AND grad students, all with an interest in exploring climate. All majors are welcome, and we do not require any prior experience!"
Penn Computer Science Society,"The Computer Science Society is the University of Pennsylvania's computer science student organization. We look to build a community within computer science, and we work to provide students with as many opportunities as we can. Whether we're planning late night cookies, interview prep panels, or hackjams, we're always looking to help out the students and to promote the department."
Penn Impact Investing,"Penn Impact Investing (PII) is a student group at Penn that aims to connect students with real world opportunities and thought leadership in impact investing. PII hosts speaker events and supports impact investing funds with pro-bono services. 
pennimpactinvesting.org"
Penn in Washington,"The official student organization of the Penn in Washington (PIW) program. We are an informal community of people with shared passions in service, public policy, politics, and more - anything that makes us aspire to study in DC! If you're interested in going to DC through PIW, this is your starting line. The point is to chill and make friends!"
Penn Infectious Disease Club,"The aim of this club is to serve as a forum for students interested in infectious diseases (ID) to come together to discuss advancements in the field, interact with core ID researchers, and volunteer for disease containment events on campus and in the wide Philadelphia community. This club also provides opportunities for academic and professional mentorship between graduate students at the Perelman School of Medicine and Penn students. Our events include journal club-style meetings during which group members either present an influential ID paper or their own research projects, social activities (e.g., ID-themed movies nights, art & crafts nights), guest lectures by Penn professors and researchers involved with ID, and volunteer/fundraising opportunities. Our aim is for the peer-to-peer and peer-to-faculty learning stimulated by this club to inspire the next generation of ID researchers and/or enthusiasts."
Penn Innovation Network,"The First ESG innovation-driven club at the University of Pennsylvania that elevates training opportunities and career accessibility and exposure to multiple verticals, such as ESG financing solutions, socially innovative ventures, and cutting-edge ESG tech and media creations. 

PIN claims innovative global ESG majors as its corporate sponsors and partners. Exclusive corporate sponsors include Siemens, Bose and MSCI. Corporate partners include industry-leading Soros Fund Management, Point72 Asset Management and Paramount Global, with more to come.

PIN executive board comprises of graduate and undergraduate talents hailing from the College, SEAS and Wharton. They bring professional experiences at Soros, McKinsey, BCG, Oracle, SAP, NASA, AstraZeneca, Tishman Speyer, MSCI, etc., and are passionate about a future convergence of tech and finance sharing common ESG values. Via a triumvirate 3-club model with Google DSC@Penn and Dell Women Entrepreneur Network@Penn, PIN aims to create value-accretive, win-win-win propositions for members, sponsors and Penn.

Criteria for membership are genuine zeal for ESG tech/finance and social innovation, and demonstrated academic interests in relevant fields. PIN welcomes both undergraduate and graduate students to our membership. Recruiting for executive board positions will commence January 2023."
Penn Innovators in Business (PIIB),"We are Penn Innovators in Business (PIIB), a Penn student group that connects the brightest minds in different industries to provide insights and advice geared towards fellow undergraduates looking to venture into similar fields. In the past, we have interviewed John Steinberg (former BuzzFeed President), Joey Zwillinger (CEO of Allbirds), Ethan Brown (CEO of Beyond Meat), and more.

We strongly believe that one-on-one interactions and interviews are the best way to learn from others so we focus on creating top-notch interviews to provide an opportunity for the students to learn first-hand from our guests. Recently, we have partnered with Zoom Memes for Self Quaranteens, a 800k+ member Facebook group, to bring live-streamed interviews focusing on professional career growth. We also work in partnership with Wharton Executive Education to run a mentorship program every year. To be notified of our events and interview content, sign up for the listserv here. We're always looking for new innovators, so apply here by January 27th to see if you'd be a good fit for the team."
Penn International Impact Consulting - PIIC,"Penn International Impact Consulting is the oldest student-run consultancy at Penn providing pro-bono consulting services to NGOs and social entrepreneurs worldwide. We are composed of some of the brightest and most passionate globally-minded students from all four schools at the University of Pennsylvania.

PIIC is committed to empowering NGOs and social entrepreneurs in developing regions through meaningful work and international on-site engagements that make it unique to Penn’s community."
Bent Button Productions,"We write, shoot, direct, edit, and sometimes act in the films to create an interactive, hands-on learning experience. All the members love entertainment, and we want to share our enthusiasm with others."
Penn Latin and Ballroom Dance (PLBD),"We are a Student organization at the University of Pennsylvania. Our goal is to teach and promote Latin and Ballroom dance to students, faculty, staff, and members of the Philadelphia community. No partner needed. We welcome beginners! In fact, most students currently on the team had no prior dance experience. We compete at collegiate competitions in the Northeast and put together performances throughout the year."
Penn Aerial Robotics,"Penn Aerial Robotics (Penn AiR) is student-led team for the development of unmanned aerial vehicles (UAVs) and robots. The club aims to provide students with the resources to construct, develop and test their own UAVs, travel to and compete at inter-collegiate competitions, and to connect with people who share this same passion. For the 2023 season, we will be building two aircraft to compete at SAE Aero Design East in March/April 2024."
Penn Aerospace Club,"PAC is a student group at the University of Pennsylvania that inspires Penn students to overcome the impossible. It is one of the most dynamic, fastest growing, and visible student groups in the University. PAC offers students a hands-on project oriented experience and guides them towards aerospace technology innovation. 

The club is divided into four sub-teams: Rocket, Balloon, Aircraft, and Jet Propulsion. Each team strives to achieve excellence in its technical projects, collaborative work, and community events.

As the primary aerospace-focused group on campus, PAC is comprised of the best aerospace talent Penn has to offer. We serve a wide audience, with over 100 members, and the club continues to grow every semester with new recruits. Applications to Subteams are open at the beginning of Fall and Spring semester. Check the website page to see if the current semester's application is available!"
Penn Baking Club,"Penn Baking Club is a student group at the University of Pennsylvania. Our mission is to foster a community of students who enjoy baking and want to share/learn new recipes and techniques. Whether you have been baking for years or just like to eat cookies, this club is open to everyone at all experience levels. Our aim is to not only have fun while baking some really delicious food, but to also learn about the history and science of baking, as well as share our baked goods with the greater Penn and Philly communities.  "
Penn Chess Club,"The student chess group for the University of Pennsylvania, open to players of all skill levels! We want to engage the Penn community through chess. We meet Wednesdays at 8pm at Houston Hall!"
Penn Debate Society,"As a student group at the University of Pennsylvania, we field teams to over fifteen tournaments per semester, including the World University Debate Championships and topping off our season in the spring with the National Tournament. In addition to competing, we also host college and high school debate tournaments that attract hundreds of debaters from universities and high schools across the nation. Over the course of the year, we have accumulated several accolades including: top speaker awards, top novice and varsity team finishes, and multiple national qualifiers."
Penn Electric Racing,"Penn Electric Racing (PER) is the University of Pennsylvania’s Formula Electric SAE Team. We built America’s fastest student-designed racecar with a 0-60 time of 2.6 seconds—acceleration faster than freefall.

We have been affiliated with Formula SAE for nearly a decade, and in the process we have become one of North America's premier teams, garnering 39 trophies. Most recently, we obtained 4th in Skidpad and 6th in Autocross out of over 70 teams at FSAE Michigan 2023.

"
Penn Math Contest Club,"This undergraduate and graduate club is dedicated to hosting and organizing the annual University of Pennsylvania Math Contest for high school participants. Our student group is focused on expanding mathematical outreach and stoking high school students' interest in math. There are many positions that don't require mathematical knowledge, such as social media, finances, logistics, day-of volunteering, etc. Please feel free to reach out to us with questions and for more information on how to get involved!

Our club is dedicated to spreading mathematical passion to students of all levels. As such, last year, we ran both a beginners contest and an advanced contest in order to reach a greater audience of students. We included diverse mathematical problems from high school algebra to geometry to combinatorics to logic and other fields, and we are always welcoming more ideas about how the contest should be run, in order to make the contest appealling and exciting for students!

"
Penn Mock Trial,"Penn Mock Trial is a student group at the University of Pennsylvania - and the school's one and only competitive mock trial program! Since the 1970s, the Penn Mock Trial team has traveled around the country to compete in some of the most prestigious tournaments—providing outlets for future lawyers, actors, debaters, and public speakers to refine their craft.

Mock trial refers to the act of simulating a trial. It is often conducted by students in order to understand trial rules and processes in a trial. A mock trial will simulate lower-court trials, conducting all the procedures of an original trial in an abbreviated form.

It’s a mix of public speaking, acting and debating. It’s having the skill to take the stand and be a ridiculous eye-witness, a grieving mother or a serious doctor. It’s dominating the courtroom and swaying an entire jury box to vote in your favor. It’s sharp suits, fiery rebuttals, and fast paced objection battles."
Penn Model Congress,"Penn Model Congress, founded in 1997, is an entirely student-run organization open to all undergraduates of the University of Pennsylvania. Each spring, PennMC hosts an elite four-day conference for high school students from around the country to debate bills written by their peers covering a variety of contemporary political issues. Additionally, the club sponsors panels, guest speakers, and various other events in order to discuss and enhance our understanding of the United States government, particularly the Congress and legislative process."
Penn Quizbowl,We are a student group at the University of Pennsylvania that competes against other colleges in team-based quiz bowl competitions.
Science Olympiad at Penn,"Science Olympiad at the University of Pennsylvania (SOUP) is a student-run organization at Penn that hosts a Science Olympiad invitational tournament and mentors local middle school and high school teams in Philadelphia with the goal of spurring interest in STEM for students who might otherwise lack the opportunity.

What is Science Olympiad?
Science Olympiad is a non-profit organization that hosts official tournaments on a regional, state, and national level with around 7,800 teams of 15 students across all 50 states. These tournaments consist of 23 events that test students on a range of subjects, including biology, earth and space science, chemistry, and engineering.

Our Purpose
Participating in high school and middle school Science Olympiad inspired many of our members to pursue degrees and careers in science, technology, engineering, and mathematics. Our organization’s mission is to provide young students in the Philadelphia area and around the country with the opportunity to experience Science Olympiad."
The Daily Pennsylvanian,"The Daily Pennsylvanian is a student-run media organization with both editorial and business departments. The editorial side, operating remotely through the pandemic, includes departments like News, Sports, Opinion, Multimedia, Copy, Audience Engagement, Web Development, and Podcasts. The business side, a $3-million operation, consists of teams such as Marketing, Analytics, Product Lab, and Consulting, offering students a real-world business experience.

34th Street Magazine serves as the authority on Penn student life, empowering student voices and covering arts and campus culture. It provides opportunities for creative expression in writing, marketing, design, photography, videography, and social media. Street aims to be a tight-knit community where individuals learn from dedicated peers.

Under the Button is Penn's humor and satire source, with a team of writers, videographers, actors, graphic designers, and coders. It covers unconventional stories with a humorous twist, and if you're a funny person looking to share your humor with the campus, Under the Button invites you to join their team."
Web3 Builders,"Web3 Builders is a vibrant community of students exploring the technical side of crypto and blockchain. This is a club for physical and virtual gatherings that includes building, information sharing, education, career, and community events. We welcome both engineers and non-engineers who are willing to get their hands dirty and wish to shape the future of blockchain technology."
Discentes,"Discentes is Penn's undergraduate Classical Studies publication. We publish articles, translations, research papers, and artwork from undergraduates and graduates from universities around the world."
DoubleSpeak Translation Magazine,"DoubleSpeak is the University of Pennsylvania's journal on and of translation, run by undergraduates at the university. It is one of the only university-based translation magazines in the United States. Here at DoubleSpeak, we strive to represent and celebrate a number of different languages, countries, and cultures by publishing interpretations of the work of poets and writers across centuries and around the world."
F-Word Magazine,"The F-Word is a collection of feminist voices that comes together in a biannual print publication, weekly discussion groups, and an online blog. We are a student-run publication at the University of Pennsylvania, and we aim to be a space for people of all backgrounds to talk, write, or create art through their experiences. We hope to represent and welcome many voices with meaningful thoughts to share: queer, POC, all genders, and all socioeconomic backgrounds. We hope to foster more thoughtful campus discussion on the bounds of and potential for feminism, intersectionality, social justice, and the role of publication and writing in all of the above."
Fenjan: The Middle East Magazine,"Founded in 2020, Fenjan is the University of Pennsylvania’s premier student-produced magazine on the Middle East. Through non-partisan, quarterly issues, Fenjan is dedicated to increasing empathy for and understanding of the Middle East among the Penn Community through written and visual work. Fenjan covers countries commonly recognized as part of the MENA region. We welcome people of every cultural identifier and background."
La Vida Magazine,"La Vida Magazine is the University of Pennsylvania's only student-run Latinx interest publication, established in 2001 as a short printed newsletter by the Cipactli Latino Honor Society. We publish a variety of submissions, including visual art, poetry, prose, and critical essays. We celebrate the diversity of Latinx culture, and as such we strive to acknowledge Latinx voices on campus. As of 2017, we have expanded submissions to the entire Ivy League."
Penn Appétit,"Penn Appétit is the University of Pennsylvania's innovative, student-run magazine covering all things food. Throughout the year, we publish eye-catching magazines, host events with high-profile restaurateurs, and trek through Philly and beyond for the greatest food finds. Find a place in our organization by becoming a writer, photographer, designer, or recipe developer! If you want more hands-on experiences, you can help us plan a new host of events, establish relations within the food industry, run our food blog, or volunteer directly in the Philly community, to name a few."
Penn Bioethics Journal,"Established in 2004, the Penn Bioethics Journal is the premier peer-reviewed undergraduate bioethics journal, hosted by the Department of Medical Ethics and Health Policy at the Perelman School of Medicine. Published papers are on a wide variety of topics, from neuroethics to xenotransplantation and everything in between. Our call for papers goes out to undergraduate and graduate students across the globe. The acceptance process is very competitive with submissions undergoing an initial review, a small-group review, and, if warranted a final review by the full editorial board of approximately 30 students."
Penn Undergraduate Law Journal,"A student-run research publication, the Penn Undergraduate Law Journal (PULJ) seeks to foster scholarly discourse on topical and historical issues pertaining to law or the legal system. In this spirit, the journal's principal objective is to publish exceptional undergraduate works, drawn from an array of disciplinary perspectives, that evaluate and elucidate the intricacies, vagaries, and nuances of law as they relate to domestic and international affairs, business, academia, and society. PULJ aims to sustain and enrich a vibrant discussion about law at the undergraduate level because it recognizes that the student writers of today will be the leaders, lawyers, and scholars of tomorrow."
PennScience Journal of Undergraduate Research,"PennScience Journal of Undergraduate Research is a student group committed to promoting and raising the visibility of undergraduate research.

Conducting research has become a standard part of many science majors' interests, and many students go above and beyond the call of the minimum requirements, spending long hours and summers in the lab. Some even begin their research careers while still in high school. Yet too often, this work goes unnoticed and unreported.

By creating a scientific forum for and by students, we hope to bring together young researchers, helping to make students feel that rather than participating in a disjointed and isolating endeavor, they are becoming a part of a true community of scholars. We also seek to raise the awareness of the outside community to research performed by undergraduates.

A key goal of our journal is to make publication more accessible to college students, providing a peer-reviewed journal dedicated solely to their work. Publication in academic journals is a time-consuming process which is not always suitable for the duration and scale of projects done by undergraduates; we seek to create another option will allow more students to publish their research."
QUAKE Magazine,"Quake magazine is a student-run publication that uses literature, photography, design, and other art forms to facilitate the appreciation of bodies, relationships, sex, and love of all kinds. We strive to explore these themes in a respectful, inclusive, and artful space which is welcoming to all identities. In seeking honest sharing, we value confidentiality above all else and will strive to be equitable and trustworthy in our appreciation for different stories."
T-Art Magazine,"T-art magazine exists at the intersection of art and technology to create a dialogue between the two seemingly disparate fields. By bridging the gap between artists and innovators within the Penn community and beyond, our publication explores the collaborative potential to push the boundaries of art and design. Our mission is to connect students and inspire them to develop their creative passions, as artists and designers have an important role in sparking new conversations and creating original works and products. "
The Penn Review Literary Magazine,"Devoted to the literary and visual arts, we are a student group and a professional literary magazine that publishes original poetry, fiction, creative nonfiction, and visual artwork, and feature a blend of emerging and established voices in our biannual print and online publication. In our seven-decade history, we’ve published works by William Carlos Williams, Allen Ginsberg, e. e. cummings, and Jennifer Egan, among others.

Sign up for our listserv here—https://forms.gle/LNiVSxQZdcPAHDc98—and join us for our weekly meetings at the Kelly Writers House, Room 202, Tuesdays from 9:00 PM to 10:00 PM.

Also, join us at the Kelly Writers House activity fair on Friday, Sep. 1 from 1:00 PM to 3:30 PM to meet with current editorial staff and learn more about the magazine!"
The Pennsylvania Punchbowl,"Founded in 1899, The Pennsylvania Punch Bowl, a student-run publication, is the oldest and funniest humor magazine at the University of Pennsylvania.

Our magazine publishes three print issues annually and new web content daily. We’re looking for students interested in one or more of the following areas: comedy/writing, graphic design, marketing, and video. No application or experience required! Just a sense of humor and/or a sigma-male red-pill mindset."
The WALK Magazine,"Launched in 2006, The WALK Magazine is the University of Pennsylvania’s premier and completely student-run fashion publication and community. In 2010, thewalkmag.com was launched as a sister to the print edition, providing Penn with its widely-demanded fashion fix year round. As an organization, The WALK strives to explore the interdisciplinary field of fashion through its diverse and talented staff members. We at The WALK hope to not only cultivate a passionate community of creative thinkers but to universalize the powerful force of fashion—within and outside of Penn. We hope that, through our commitment to innovative thinking, we can inspire you to discover the wonderful world that is fashion."
UnEarthed Penn,"UnEarthed is a student-run publication at the University of Pennsylvania that publishes creative, inspirational, and educational magazines for elementary and middle schoolers in the West Philadelphia area. Our mission is to ensure that every child has the opportunity to unearth their intellect and curiosity. Each semester, our team of writers, editors, and designers collaborates to create a magazine that we share with local children in person and online. Past articles include topics like the history of coffee, how different animals sleep, why hot water feels cold, and so much more!"
